imp_id,site_domain,ad_size,geo,hour,device_type,user_segment,deal_id,buyer_id,bidfloor,deal_type,past_win_rate,label
imp_0,fashionhub.com,300x250,US,23,desktop,fashion_lover,deal_18,buyer_2,1.39,preferred,0.59,1
imp_1,news.com,300x250,CA,16,tablet,sports_enthusiast,deal_26,buyer_9,0.9,private_auction,0.59,0
imp_1,news.com,300x250,CA,16,tablet,sports_enthusiast,deal_1,buyer_3,1.43,private_auction,0.28,0
imp_1,news.com,300x250,CA,16,tablet,sports_enthusiast,deal_98,buyer_6,0.29,private_auction,0.1,0
imp_2,fashionhub.com,728x90,US,23,desktop,sports_enthusiast,deal_11,buyer_9,0.66,private_auction,0.58,0
imp_2,fashionhub.com,728x90,US,23,desktop,sports_enthusiast,deal_6,buyer_4,1.57,preferred,0.86,0
imp_3,sportsdaily.com,728x90,IN,20,desktop,fashion_lover,deal_46,buyer_4,1.37,preferred,0.61,1
imp_3,sportsdaily.com,728x90,IN,20,desktop,fashion_lover,deal_94,buyer_4,0.41,private_auction,0.27,0
imp_4,fashionhub.com,160x600,CA,21,desktop,sports_enthusiast,deal_5,buyer_6,0.86,preferred,0.21,0
imp_5,fashionhub.com,728x90,CA,20,desktop,tech_savvy,deal_59,buyer_3,0.6,preferred,0.74,0
imp_5,fashionhub.com,728x90,CA,20,desktop,tech_savvy,deal_96,buyer_10,0.91,private_auction,0.36,0
imp_5,fashionhub.com,728x90,CA,20,desktop,tech_savvy,deal_18,buyer_9,1.04,preferred,0.86,1
imp_6,news.com,160x600,IN,19,mobile,tech_savvy,deal_77,buyer_8,1.11,preferred,0.68,1
imp_6,news.com,160x600,IN,19,mobile,tech_savvy,deal_69,buyer_5,1.56,private_auction,0.11,0
imp_7,sportsdaily.com,300x250,UK,16,mobile,sports_enthusiast,deal_39,buyer_9,1.26,preferred,0.37,1
imp_7,sportsdaily.com,300x250,UK,16,mobile,sports_enthusiast,deal_100,buyer_9,1.85,private_auction,0.49,1
imp_7,sportsdaily.com,300x250,UK,16,mobile,sports_enthusiast,deal_47,buyer_5,0.55,preferred,0.88,0
imp_8,news.com,160x600,IN,2,tablet,fashion_lover,deal_85,buyer_8,1.9,preferred,0.27,0
imp_9,sportsdaily.com,300x250,DE,23,tablet,fashion_lover,deal_40,buyer_7,1.99,private_auction,0.44,0
imp_9,sportsdaily.com,300x250,DE,23,tablet,fashion_lover,deal_16,buyer_4,0.53,private_auction,0.02,0
imp_9,sportsdaily.com,300x250,DE,23,tablet,fashion_lover,deal_76,buyer_4,0.11,preferred,0.23,0
imp_10,sportsdaily.com,300x250,DE,7,desktop,tech_savvy,deal_70,buyer_3,1.47,private_auction,0.24,0
imp_11,sportsdaily.com,300x250,US,3,tablet,tech_savvy,deal_55,buyer_7,0.99,preferred,0.67,0
imp_11,sportsdaily.com,300x250,US,3,tablet,tech_savvy,deal_13,buyer_1,0.86,private_auction,0.8,1
imp_12,news.com,300x250,DE,14,mobile,tech_savvy,deal_36,buyer_8,0.57,preferred,0.44,0
